"review_bin","reviewers","share"
"1",145371,0.77995428792171
"2",27532,0.147716542192463
"3",6947,0.0372725126620311
"4",2704,0.0145076830629239
"5",1352,0.00725384153146193
"6-10",2015,0.0108110138209288
"11-20",403,0.00216220276418577
"21+",60,0.000321916044295648
